sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
56,2.6762956804116054,2.628033896860547,-0.04826178355105837,-1.8033053636149752,8.307566,8.002969,2.7142857142857144,3,14
57,3.191780042296768,3.144423655961608,-0.04735638633516004,-1.4836983033794189,8.850407,7.8610616,2.857142857142857,6,14
58,3.036571515565663,2.994402283907299,-0.04216923165836395,-1.3887119549861324,8.035148,8.089444,3.0714285714285716,6,14
59,2.825363687342848,2.793880852839635,-0.031482834503212764,-1.1142931667257758,8.382316,8.252843,4.785714285714286,2,14
60,3.1151556065831576,3.074620201312297,-0.040535405270860636,-1.3012321177535555,7.876215,7.27885,1.6428571428571428,5,14
61,3.0094489782280527,2.964138218133752,-0.04531076009430057,-1.5056164906633274,7.864467,10.080111,2.5714285714285716,3,14
62,3.6369348584968018,3.5673002083702685,-0.06963465012653325,-1.914652113271951,8.502923,7.795619,3.5,4,14
63,3.4017444456035673,3.3107209241704925,-0.0910235214330748,-2.675789521776513,8.04206,6.6713586,1.7857142857142858,5,14
64,3.384316777660866,3.296679556929632,-0.08763722073123414,-2.5895099805582102,8.3313265,8.342135,1.9285714285714286,5,14
65,2.7316278678964165,2.6845317780270816,-0.04709608986933489,-1.724103433810801,7.7514906,8.78256,2.2857142857142856,5,14
66,3.5814274080549753,3.4639658834605367,-0.1174615245944386,-3.2797404836478408,7.955261,7.4089165,2.5714285714285716,5,14
67,2.819296027532837,2.788264048660656,-0.03103197887218112,-1.1006995565250086,8.140947,8.119921,2.7142857142857144,3,14
68,3.695727730038184,3.629734360881734,-0.06599336915645004,-1.7856664228825159,7.7576013,7.336024,2.0714285714285716,4,14
69,3.5930652611200786,3.5252610138154945,-0.06780424730458412,-1.8870864394889189,7.7936726,6.226004,2.4285714285714284,4,14
70,3.8293449723878066,3.7015719939074483,-0.1277729784803583,-3.336679755981473,8.463572,8.031387,3.642857142857143,5,14
71,3.9542985528173897,3.862534328776048,-0.09176422404134188,-2.320619518623878,7.9898734,8.484452,2.9285714285714284,2,14
72,3.529479613495806,3.4538883676289647,-0.0755912458668413,-2.1417107943562037,8.141984,8.120732,3.7142857142857144,3,14
73,3.5922807731669493,3.52249015879067,-0.06979061437627943,-1.9427939736111475,7.4929624,6.234867,2.7857142857142856,5,14
