sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,words_found,words_missing
100,46.3916230632085,3.013235210043777,6.167157396342059,5.930990078519207,106,5
101,69.18433666202218,3.3032810338953524,7.168207560870081,16.7303908339291,107,7
102,56.5734408982186,3.4782182954547585,5.463506441332509,7.995090738596929,113,4
103,61.28725425589794,3.5015960931108774,5.752674052369915,16.5389226522165,116,1
104,59.37130715032062,3.1256291329346553,5.145146764443465,7.903231554527019,109,8
105,57.15455899449891,2.736553490496546,6.366982502541005,6.9215698564459665,96,9
106,55.390308254838864,3.300265515952763,5.202751282828116,8.288710820504512,108,2
107,52.21547675992377,3.0601404885768035,5.367592053446944,7.651184840787624,107,6
108,56.07282612760718,3.0563014044005015,3.93231760685025,6.962823926579167,109,6
109,64.52372969427789,3.56373042431102,5.786389905015408,12.007372443661636,111,5
110,56.790751721991086,3.366437878743177,5.682748182899231,8.425907739972489,114,5
111,66.08594640124792,2.9348265480459004,4.513308966312977,8.917494317152089,106,4
112,52.515602867888724,3.168370956102066,4.681087915545104,7.411265797577723,108,6
113,60.20260736964781,3.272813269931027,4.565811345649402,4.885205247932935,115,2
114,60.41285863825378,3.1041526176576446,4.3281963028847565,7.536299629218613,107,7
115,52.30320141885413,2.880009262513542,5.104853584269163,8.551890444872964,108,7
116,55.738011540872876,2.7550399077689676,4.320049823038467,7.970291963622761,102,7
117,51.60890315797456,3.0235297000080514,4.249347588224267,8.383452126937394,108,2
118,68.61352888953563,3.086476817898787,5.318892598834394,12.499519290190714,108,4
119,51.96393350842477,3.0361264697439467,4.1360067406626,7.3627700707754125,110,3
120,78.5751714203294,3.633707120235988,6.856545071122815,10.161595566756793,111,6
121,45.879908055248364,3.389846369408967,5.5248952544253935,5.682475511833534,110,5
122,63.966798577667795,2.9880767901751577,4.566428574088162,7.467098986355812,102,3
123,65.82728832267182,3.6224296373276883,5.192955720519318,10.23526762573389,116,0
124,55.31597131862812,2.930340311004542,4.699595150478233,9.029451602849777,102,7
125,53.04678803819939,2.7098342642466315,3.5211517767174416,5.798897104623819,102,3
126,55.880410289199574,3.00414944109381,4.225879098379426,6.190095374279904,91,5
127,81.43534616299029,3.0294861683670797,5.866383710899082,14.911076351650319,103,8
128,45.86919548734037,2.789567963597033,4.4271104216296235,6.956887138925622,106,5
129,53.334427595775026,2.9373351546915116,5.2566269604691875,8.999840161248812,106,4
130,59.155354559932384,3.5845378185131564,5.6374976560423296,8.966400356676315,121,2
131,54.28101293301456,3.4196324248480345,4.71182488944037,8.059565011053119,116,3
132,48.70772678389506,3.3893424243827397,5.0406772931277555,7.704354596522551,114,0
133,59.425909786750914,3.3219999945777765,5.180290626110911,11.386425184963409,114,8
134,62.916934298483085,3.7435302505393238,6.917889363733179,9.784656404917163,115,6
135,58.00530893692175,3.3284131011138847,5.104067459988312,7.891051352606022,107,9
136,90.28199448620308,3.8995841086889604,5.172479205808773,10.818918703452884,117,7
137,72.92652350243466,3.952178464728711,6.598495933496083,12.228134475392146,118,6
138,80.48573350165788,3.4902226728076466,4.98189760360686,12.29298034763635,112,5
139,53.846600301675736,3.2604642237855193,4.623711398798763,9.389561431548273,117,3
140,52.32756400986399,3.717131725124919,8.184872576954087,8.457453546342252,115,3
141,56.55573999944691,3.468441931476233,5.099832286430223,8.55272044900948,114,4
142,52.43794400992023,3.2253166464176988,4.644710924103244,7.268865679430724,110,7
143,63.968589098362095,3.474958328859766,5.4540824191286115,11.14930312484453,114,5
144,55.41585945951181,3.1665967061810014,5.012919205480284,10.070158328978474,108,5
145,48.73113497744488,2.1524546962827755,3.277461368716752,3.8389410332048945,84,13
146,62.494131769221504,2.9935895277781808,5.799589161399043,14.445791654398299,109,3
147,53.19467415289232,2.8499168073457994,5.003124603464869,10.809358881945098,104,3
148,59.99221442574098,3.349588590629573,5.780704528083206,6.707155386793336,118,5
149,60.02342419190499,3.670772880392666,6.2908234911136685,8.606282635058925,116,3
150,71.50700383511447,3.434957572975889,5.3292440302068,6.877205967841635,115,3
151,57.44459708925155,3.60026953786014,4.735790015868147,8.152300947723843,117,2
152,65.99669354055489,3.7336632861573937,5.214201654212247,9.2283124795801,120,4
153,44.729847276235276,2.7599901940390716,4.4886370933198085,8.232167625274203,100,9
154,74.86429122894874,2.7804853991970466,5.523040127300477,5.156717571194915,104,12
